framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,2,4096,14336,2,8,1,1,power_law_1.01,0.74029052734375
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,1,4096,14336,2,8,1,1,power_law_1.01,0.46753791809082035
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,4,4096,14336,2,8,1,1,power_law_1.01,0.930508804321289
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,8,4096,14336,2,8,1,1,power_law_1.01,1.6085810852050781
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,16,4096,14336,2,8,1,1,power_law_1.01,2.388643798828125
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,80,4096,14336,2,8,1,1,power_law_1.01,2.520453186035156
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,48,4096,14336,2,8,1,1,power_law_1.01,2.4867430114746094
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,96,4096,14336,2,8,1,1,power_law_1.01,2.6488421630859373
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,128,4096,14336,2,8,1,1,power_law_1.01,2.784132995605469
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,32,4096,14336,2,8,1,1,power_law_1.01,2.434641876220703
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,64,4096,14336,2,8,1,1,power_law_1.01,2.476933135986328
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,160,4096,14336,2,8,1,1,power_law_1.01,2.764881896972656
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,192,4096,14336,2,8,1,1,power_law_1.01,2.9452084350585936
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,256,4096,14336,2,8,1,1,power_law_1.01,3.129876403808594
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,320,4096,14336,2,8,1,1,power_law_1.01,3.3052877807617187
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,384,4096,14336,2,8,1,1,power_law_1.01,3.5190170288085936
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,512,4096,14336,2,8,1,1,power_law_1.01,4.052991943359375
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,768,4096,14336,2,8,1,1,power_law_1.01,5.195222778320312
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,1024,4096,14336,2,8,1,1,power_law_1.01,6.27378173828125
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,1536,4096,14336,2,8,1,1,power_law_1.01,8.9324951171875
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,2048,4096,14336,2,8,1,1,power_law_1.01,11.69743896484375
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,1,4096,14336,2,8,1,1,power_law_1.2,0.4943052673339844
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,2,4096,14336,2,8,1,1,power_law_1.2,0.6636134338378906
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,4,4096,14336,2,8,1,1,power_law_1.2,0.8483840179443358
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,8,4096,14336,2,8,1,1,power_law_1.2,1.6021299743652342
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,3072,4096,14336,2,8,1,1,power_law_1.01,17.6732568359375
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,16,4096,14336,2,8,1,1,power_law_1.2,2.278748168945312
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,32,4096,14336,2,8,1,1,power_law_1.2,2.440642547607422
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,48,4096,14336,2,8,1,1,power_law_1.2,2.4883200073242184
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,64,4096,14336,2,8,1,1,power_law_1.2,2.4782028198242188
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,80,4096,14336,2,8,1,1,power_law_1.2,2.5791693115234375
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,4096,4096,14336,2,8,1,1,power_law_1.01,23.85049560546875
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,96,4096,14336,2,8,1,1,power_law_1.2,2.662072448730469
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,128,4096,14336,2,8,1,1,power_law_1.2,2.84442626953125
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,160,4096,14336,2,8,1,1,power_law_1.2,2.8805325317382815
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,192,4096,14336,2,8,1,1,power_law_1.2,2.840186767578125
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,256,4096,14336,2,8,1,1,power_law_1.2,3.140526123046875
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,320,4096,14336,2,8,1,1,power_law_1.2,3.2728472900390626
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,384,4096,14336,2,8,1,1,power_law_1.2,3.5236865234375
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,512,4096,14336,2,8,1,1,power_law_1.2,4.076687316894531
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,768,4096,14336,2,8,1,1,power_law_1.2,5.2951245117187495
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,6144,4096,14336,2,8,1,1,power_law_1.01,38.65155517578125
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,1024,4096,14336,2,8,1,1,power_law_1.2,6.391848754882813
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,1536,4096,14336,2,8,1,1,power_law_1.2,9.004810180664062
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,2048,4096,14336,2,8,1,1,power_law_1.2,12.089610595703125
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,3072,4096,14336,2,8,1,1,power_law_1.2,17.865748291015628
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,8192,4096,14336,2,8,1,1,power_law_1.01,57.06962890625
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,4096,4096,14336,2,8,1,1,power_law_1.2,24.760361328125
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,6144,4096,14336,2,8,1,1,power_law_1.2,42.528911132812496
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,1,6144,16384,2,8,1,1,power_law_1.01,0.8418303680419921
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,2,6144,16384,2,8,1,1,power_law_1.01,1.2280627441406249
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,4,6144,16384,2,8,1,1,power_law_1.01,1.571962890625
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,8,6144,16384,2,8,1,1,power_law_1.01,2.7650048828125002
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,16,6144,16384,2,8,1,1,power_law_1.01,4.282347412109376
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,12288,4096,14336,2,8,1,1,power_law_1.01,95.644140625
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,32,6144,16384,2,8,1,1,power_law_1.01,4.353126525878906
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,48,6144,16384,2,8,1,1,power_law_1.01,4.421406860351563
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,64,6144,16384,2,8,1,1,power_law_1.01,4.408872985839844
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,80,6144,16384,2,8,1,1,power_law_1.01,4.464947204589843
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,moe,sglang_fused_moe_triton,float16,8192,4096,14336,2,8,1,1,power_law_1.2,62.8473876953125
