framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,1,0.013823999712864557
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,3,0.014165333161751429
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,7,0.013994666437307993
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,15,0.013994666437307993
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,31,0.013994666437307993
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,63,0.013994666437307993
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,255,0.02218666672706604
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,1023,0.031231999397277832
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,2047,0.04863999783992767
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,127,0.014335999886194864
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,511,0.0264533335963885
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,3,0.02065066620707512
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,1,0.02065066620707512
