framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,1,128,1,float16,float16,0,44.14948425292969
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,1,128,1,fp8,fp8,0,34.86885375976563
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,1,128,1,float16,fp8,0,34.97383422851563
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,2,128,1,float16,float16,0,44.189794921875
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,2,128,1,fp8,fp8,0,35.002020263671874
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,2,128,1,float16,fp8,0,34.93772583007812
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,4,128,1,float16,float16,0,44.84974060058594
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,4,128,1,float16,fp8,0,35.02408142089844
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,4,128,1,fp8,fp8,0,34.91069641113281
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,8,128,1,float16,fp8,0,35.251626586914064
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,96,128,1,float16,fp8,0,18.182453918457032
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,1,128,1,float16,fp8,0,17.3759765625
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,8,128,1,float16,float16,0,45.42595520019531
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,1,128,1,float16,float16,0,21.96129608154297
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,96,128,1,fp8,fp8,0,18.081402587890626
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,96,128,1,float16,float16,0,28.641403198242188
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,1,128,1,fp8,fp8,0,17.649842834472658
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,2,128,1,float16,fp8,0,17.60649719238281
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,8,16384,96,8,128,1,fp8,fp8,0,34.935055541992185
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,2,128,1,fp8,fp8,0,17.488404846191408
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,2,128,1,float16,float16,0,22.124766540527343
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,4,128,1,float16,fp8,0,17.625889587402344
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,4,128,1,fp8,fp8,0,17.281031799316406
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,4,128,1,float16,float16,0,22.32470703125
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,96,128,1,fp8,fp8,0,9.20406265258789
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,96,128,1,float16,fp8,0,9.258417510986328
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,8,128,1,float16,fp8,0,17.600440979003906
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,96,128,1,float16,float16,0,14.412477111816406
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,1,128,1,float16,float16,0,11.436697387695313
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,8,128,1,fp8,fp8,0,17.505636596679686
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,1,128,1,float16,fp8,0,8.649646759033203
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,4,16384,96,8,128,1,float16,float16,0,22.569415283203124
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,1,128,1,fp8,fp8,0,8.781079864501953
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,2,128,1,float16,fp8,0,8.752267456054687
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,2,128,1,float16,float16,0,10.968447875976562
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,2,128,1,fp8,fp8,0,8.665620422363281
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,4,128,1,fp8,fp8,0,8.689447784423828
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,4,128,1,float16,fp8,0,8.720998382568359
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,4,128,1,float16,float16,0,10.97301788330078
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,1,16384,96,96,128,1,float16,fp8,0,4.550167846679687
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,1,16384,96,96,128,1,fp8,fp8,0,4.6274574279785154
SGLang,0.5.6.post2,NVIDIA B200,context_attention,trtllm_mha,2,16384,96,8,128,1,fp8,fp8,0,8.803337860107423
