framework,version,device,op_name,kernel_source,bmm_dtype,num_tokens,num_heads,latency
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,128,0.006876800209283829
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,1,128,0.010937599837779999
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,1,64,0.00857279971241951
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,32,0.004579199850559235
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,1,32,0.008771199733018875
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,16,0.004473600164055824
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,1,16,0.00856959968805313
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,8,0.0045056000351905824
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,1,8,0.008534400165081025
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,4,0.004569600149989128
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,1,4,0.008508799970149994
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,2,0.004524800181388855
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,1,2,0.008560000360012055
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,64,0.00639680027961731
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,1,1,0.004579199850559235
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,128,0.006735999882221222
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,64,0.00453759990632534
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,8,0.004464000090956688
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,16,0.004579199850559235
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,4,0.004464000090956688
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,2,128,0.012755200266838074
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,2,0.004636799916625023
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,2,2,0.008515200018882752
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,32,0.006403200328350067
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,2,1,0.004403200000524521
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,4,128,0.006707199662923813
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,4,128,0.012697599828243256
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,4,64,0.00456320010125637
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,4,64,0.008479999750852585
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,4,32,0.004623999819159508
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,4,32,0.008736000210046769
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,4,16,0.004527999833226204
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,4,16,0.00880960002541542
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,float16,4,8,0.0043935999274253845
SGLang,0.5.6.post2,NVIDIA B200,mla_gen_pre,default,fp8,4,8,0.00862400010228157
