framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,128,1,float16,float16,0,47.88651021321615
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,128,1,fp8,fp8,0,36.861610412597656
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,1,128,1,float16,fp8,0,48.52448018391927
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,128,1,float16,float16,0,48.4840087890625
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,128,1,float16,fp8,0,48.06946818033854
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,4,128,1,fp8,fp8,0,37.05483754475912
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,8,128,1,float16,float16,0,48.10905456542969
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,8,128,1,float16,fp8,0,48.2440439860026
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,16384,96,8,128,1,fp8,fp8,0,37.1415049235026
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,96,128,1,float16,float16,0,24.556203206380207
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,1,128,1,float16,float16,0,23.453519185384113
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,1,128,1,float16,fp8,0,22.92034149169922
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,1,128,1,fp8,fp8,0,18.14698664347331
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,96,128,1,float16,fp8,0,24.362660725911457
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,96,128,1,fp8,fp8,0,18.791765848795574
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,4,128,1,float16,float16,0,23.43237813313802
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,4,128,1,float16,fp8,0,23.53442637125651
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,4,128,1,fp8,fp8,0,18.2654291788737
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,8,128,1,float16,float16,0,23.319737752278645
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,8,128,1,float16,fp8,0,23.331326802571613
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,16384,96,8,128,1,fp8,fp8,0,18.205333709716797
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,1,128,1,float16,float16,0,11.93130111694336
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,96,128,1,float16,float16,0,12.405077616373697
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,1,128,1,float16,fp8,0,11.881301879882812
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,96,128,1,float16,fp8,0,12.376752217610678
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,1,128,1,fp8,fp8,0,9.378986358642578
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,96,128,1,fp8,fp8,0,9.737557093302408
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,4,128,1,float16,float16,0,11.874645233154297
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,4,128,1,float16,fp8,0,12.140026092529297
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,4,128,1,fp8,fp8,0,9.390928268432617
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,8,128,1,float16,float16,0,12.272655487060547
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,8,128,1,float16,fp8,0,12.011525472005209
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,2,16384,96,8,128,1,fp8,fp8,0,9.390250523885092
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,96,128,1,float16,float16,0,6.0776106516520185
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,96,128,1,float16,fp8,0,6.252890904744466
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,1,128,1,float16,float16,0,6.090752283732097
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,1,128,1,fp8,fp8,0,5.032618522644043
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,1,128,1,float16,fp8,0,5.864277521769206
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,96,128,1,fp8,fp8,0,5.181952158610026
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,4,128,1,float16,float16,0,6.167205174763997
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,4,128,1,float16,fp8,0,6.011573155721028
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,4,128,1,fp8,fp8,0,5.040800094604492
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,8,128,1,float16,float16,0,6.13973871866862
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,8,128,1,float16,fp8,0,6.133935928344727
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,1,16384,96,8,128,1,fp8,fp8,0,5.049685478210449
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,1,128,1,float16,float16,0,27.892911275227863
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,1,128,1,float16,fp8,0,28.08593495686849
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,1,128,1,fp8,fp8,0,21.693440755208332
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,4,128,1,float16,float16,0,27.65191904703776
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,4,128,1,float16,fp8,0,28.215977986653645
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,4,128,1,fp8,fp8,0,21.423792521158855
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,8,128,1,float16,float16,0,27.716094970703125
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,8,128,1,fp8,fp8,0,21.824175516764324
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,8,12288,96,8,128,1,float16,fp8,0,27.694244384765625
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,1,128,1,float16,float16,0,14.10696029663086
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,1,128,1,float16,fp8,0,13.861204783121744
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,1,128,1,fp8,fp8,0,10.87948226928711
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,96,128,1,float16,fp8,0,14.267237345377604
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,96,128,1,float16,float16,0,14.525269826253256
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,4,128,1,float16,float16,0,13.689029693603516
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,4,128,1,float16,fp8,0,13.963605244954428
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,4,128,1,fp8,fp8,0,10.906453450520834
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,96,128,1,fp8,fp8,0,11.408047993977865
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,8,128,1,float16,fp8,0,13.891583760579428
TRTLLM,1.0.0rc6,NVIDIA B200,context_attention,torch_flow,4,12288,96,8,128,1,fp8,fp8,0,10.91976547241211
