framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,64,1,16,1,0,0.01672533278663953
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,32,1,16,2,0,0.016623999923467636
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,16,1,16,4,0,0.01545599972208341
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,4,1,16,16,0,0.016821333517630894
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,8,1,16,8,0,0.014917333920796713
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,2,1,16,32,0,0.01661866654952367
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,float16,32,1,16,2,0,0.01575999955336253
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,float16,16,1,16,4,0,0.01695999999841054
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,float16,8,1,16,8,0,0.016554666062196095
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,float16,4,1,16,16,0,0.01695999999841054
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,float16,64,1,16,1,0,0.014783999572197596
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,1,1,16,64,0,0.014783999572197596
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,float16,2,1,16,32,0,0.016623999923467636
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,float16,1,1,16,64,0,0.016629333297411602
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,64,1,32,1,0,0.014618666221698126
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,32,1,32,2,0,0.014853333433469137
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,16,1,32,4,0,0.016607999801635742
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_context,default,float16,fp8,8,1,32,8,0,0.016613333175579708
