framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,10240,7.602173868815105
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,12288,8.968806966145833
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,16384,11.82825927734375
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,7168,5.281282043457031
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,6144,4.1443028767903645
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,5120,3.430095926920573
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,3584,2.1574666341145834
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,3072,1.9201056162516277
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,4096,2.4620020548502604
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,1536,0.951807975769043
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,2048,1.2019371032714843
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,2560,1.4895445505777993
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,768,0.48711465199788406
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,512,0.36416746775309244
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,1024,0.6726997375488282
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,256,0.2494453271230062
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,128,0.19650559425354003
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,64,0.1665023962656657
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,65536,32,0.1710762659708659
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,12288,1.8373984018961589
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,16384,2.582497151692708
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,10240,1.5512928009033202
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,8192,1.2749504089355468
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,6144,0.954641087849935
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,7168,1.0810036977132162
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,4096,0.6034101486206055
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,5120,0.769604237874349
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,3584,0.5342528025309246
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,3072,0.4802901268005371
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,2560,0.38618453343709314
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,2048,0.3239935874938965
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,1024,0.17134933471679686
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,1536,0.23743146260579429
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,512,0.09407146771748862
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,768,0.13277866840362548
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,256,0.06352320114771524
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,128,0.05417066812515259
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,64,0.04746880133946736
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,32,0.04997119903564453
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,16384,65536,11.983770751953125
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,16384,1.9775488535563153
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,12288,1.406329600016276
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,10240,1.2068864186604817
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,8192,0.9668597539265951
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,7168,0.8695807774861655
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,6144,0.6980266571044922
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,4096,0.4713461240132649
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,5120,0.6126581192016601
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,3584,0.4197717348734538
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,3072,0.3623242696126302
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,2048,0.24821759859720866
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,2560,0.30016854604085286
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,1024,0.12772586345672607
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,1536,0.18879253069559734
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,768,0.09919359683990478
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,512,0.07417279879252116
TRTLLM,1.0.0rc6,NVIDIA GB200,gemm,torch_flow,float16,8192,12288,256,0.0507914662361145
