framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,64,1,1,1,1,0.013765333841244379
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,32,1,1,2,1,0.01621333385507266
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,16,1,1,4,1,0.014762666076421738
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,8,1,1,8,1,0.01328533391157786
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,4,1,1,16,1,0.011029332876205444
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,2,1,1,32,1,0.012522666404644648
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,1,1,1,64,1,0.01211200033624967
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,64,1,1,1,1,0.012730666746695837
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,32,1,1,2,1,0.01257066677014033
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,16,1,1,4,1,0.012789333860079447
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,8,1,1,8,1,0.011850666254758835
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,4,1,1,16,1,0.0122079998254776
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,2,1,1,32,1,0.014720000326633453
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,1,1,1,64,1,0.012858666479587555
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,64,1,1,1,3,0.012858666479587555
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,32,1,1,2,3,0.012560000022252401
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,16,1,1,4,3,0.013989333063364029
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,8,1,1,8,3,0.012517333030700684
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,4,1,1,16,3,0.012527999778588613
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,2,1,1,32,3,0.012144000579913458
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,1,1,1,64,3,0.012565333396196365
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,64,1,1,1,3,0.013733333597580591
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,32,1,1,2,3,0.012522666404644648
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,16,1,1,4,3,0.013141332815090815
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,8,1,1,8,3,0.012400000045696894
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,4,1,1,16,3,0.012565333396196365
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,64,1,1,1,7,0.01257066677014033
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,2,1,1,32,3,0.013754667093356451
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,float16,1,1,1,64,3,0.013429333766301474
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,16,1,1,4,7,0.01239466667175293
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,8,1,1,8,7,0.01332266628742218
TRTLLM,1.0.0rc6,NVIDIA GB200,mla_generation,default,float16,fp8,4,1,1,16,7,0.012389333297808966
