framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,1,4096,14336,2,8,1,1,power_law_1.01,0.1356287956237793
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,1,4096,14336,2,8,1,1,power_law_1.2,0.13388160467147828
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,2,4096,14336,2,8,1,1,power_law_1.01,0.2038719892501831
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,2,4096,14336,2,8,1,1,power_law_1.2,0.18220160007476807
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,4,4096,14336,2,8,1,1,power_law_1.01,0.24848639965057373
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,4,4096,14336,2,8,1,1,power_law_1.2,0.23586559295654297
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,8,4096,14336,2,8,1,1,power_law_1.01,0.4338496208190918
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,8,4096,14336,2,8,1,1,power_law_1.2,0.4338240146636963
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,16,4096,14336,2,8,1,1,power_law_1.01,0.44164481163024905
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,16,4096,14336,2,8,1,1,power_law_1.2,0.4412735939025879
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,32,4096,14336,2,8,1,1,power_law_1.01,0.4481919765472412
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,32,4096,14336,2,8,1,1,power_law_1.2,0.4482431888580322
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,48,4096,14336,2,8,1,1,power_law_1.01,0.4502399921417236
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,48,4096,14336,2,8,1,1,power_law_1.2,0.4515200138092041
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,64,4096,14336,2,8,1,1,power_law_1.01,0.4428736209869385
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,64,4096,14336,2,8,1,1,power_law_1.2,0.4523263931274414
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,80,4096,14336,2,8,1,1,power_law_1.01,0.4559807777404785
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,80,4096,14336,2,8,1,1,power_law_1.2,0.4539648056030273
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,96,4096,14336,2,8,1,1,power_law_1.01,0.4551551818847656
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,96,4096,14336,2,8,1,1,power_law_1.2,0.4560256004333496
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,128,4096,14336,2,8,1,1,power_law_1.01,0.48546562194824217
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,128,4096,14336,2,8,1,1,power_law_1.2,0.46790399551391604
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,160,4096,14336,2,8,1,1,power_law_1.01,0.48874878883361816
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,160,4096,14336,2,8,1,1,power_law_1.2,0.48510079383850097
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,192,4096,14336,2,8,1,1,power_law_1.01,0.4973504066467285
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,192,4096,14336,2,8,1,1,power_law_1.2,0.48917760848999026
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,256,4096,14336,2,8,1,1,power_law_1.01,0.5219200134277344
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,256,4096,14336,2,8,1,1,power_law_1.2,0.5289023876190185
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,320,4096,14336,2,8,1,1,power_law_1.01,0.559603214263916
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,320,4096,14336,2,8,1,1,power_law_1.2,0.5707071781158447
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,384,4096,14336,2,8,1,1,power_law_1.01,0.5784448146820068
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,384,4096,14336,2,8,1,1,power_law_1.2,0.6010240077972412
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,512,4096,14336,2,8,1,1,power_law_1.01,0.6190080165863037
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,512,4096,14336,2,8,1,1,power_law_1.2,0.6083903789520264
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,768,4096,14336,2,8,1,1,power_law_1.01,0.7199679851531983
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,768,4096,14336,2,8,1,1,power_law_1.2,0.7212351799011231
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,1024,4096,14336,2,8,1,1,power_law_1.01,0.8567680358886719
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,1024,4096,14336,2,8,1,1,power_law_1.2,0.8793600082397461
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,1536,4096,14336,2,8,1,1,power_law_1.01,1.1023167610168456
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,1536,4096,14336,2,8,1,1,power_law_1.2,1.1375871658325196
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,2048,4096,14336,2,8,1,1,power_law_1.01,1.3656959533691406
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,2048,4096,14336,2,8,1,1,power_law_1.2,1.3645055770874024
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,3072,4096,14336,2,8,1,1,power_law_1.01,1.9182336807250977
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,3072,4096,14336,2,8,1,1,power_law_1.2,1.936729621887207
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,4096,4096,14336,2,8,1,1,power_law_1.01,2.366969680786133
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,4096,4096,14336,2,8,1,1,power_law_1.2,2.3719167709350586
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,6144,4096,14336,2,8,1,1,power_law_1.01,3.3926017761230467
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,6144,4096,14336,2,8,1,1,power_law_1.2,3.52740478515625
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,8192,4096,14336,2,8,1,1,power_law_1.01,4.720307159423828
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,8192,4096,14336,2,8,1,1,power_law_1.2,4.805132675170898
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,12288,4096,14336,2,8,1,1,power_law_1.01,7.147609710693359
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,12288,4096,14336,2,8,1,1,power_law_1.2,7.202130889892578
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,16384,4096,14336,2,8,1,1,power_law_1.01,10.561228942871093
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,16384,4096,14336,2,8,1,1,power_law_1.2,10.723270416259766
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,20480,4096,14336,2,8,1,1,power_law_1.01,14.212191772460937
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,20480,4096,14336,2,8,1,1,power_law_1.2,14.468666076660156
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,32768,4096,14336,2,8,1,1,power_law_1.01,23.026527404785156
TRTLLM,1.0.0rc6,NVIDIA GB200,moe,moe_torch_flow,float16,32768,4096,14336,2,8,1,1,power_law_1.2,25.292466735839845
