framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,64,128,1,float16,float16,0,5.353141148885091
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,64,128,1,fp8,fp8,0,4.89467207590739
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,64,128,1,float16,fp8,0,5.391530354817708
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,float16,0,31.531173706054688
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,64,128,1,float16,float16,0,5.413893381754558
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,64,128,1,float16,fp8,0,5.454170862833659
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,64,128,1,fp8,fp8,0,4.969840049743652
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,fp8,0,31.534955342610676
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,64,0,1,fp8,fp8,0,29.125274658203125
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,64,0,1,float16,float16,0,31.63537089029948
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,8,64,128,1,float16,float16,0,5.455973307291667
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,8,64,128,1,float16,fp8,0,5.4993438720703125
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,64,0,1,float16,fp8,0,31.68077341715495
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,8,64,128,1,fp8,fp8,0,5.014431953430176
TRTLLM,1.2.0rc5,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,64,0,1,fp8,fp8,0,29.186208089192707
