framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,12288,11.389999389648438
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,16384,27.375322129991318
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,10240,16.378399319118923
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,16384,17.71809556749132
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,12288,20.330529106987846
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,10240,9.67170884874132
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,8192,7.701436360677083
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,8192,13.386394076877169
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,7168,7.681842380099827
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,7168,11.601270887586805
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,6144,6.051374223497178
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,6144,9.82015906439887
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,5120,8.406802707248264
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,5120,4.665592193603516
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,16384,14.339836968315971
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,4096,6.759063296847874
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,4096,3.656731499565972
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,12288,10.273924933539496
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,10240,8.622781541612413
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,8192,6.973679860432942
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,3584,5.873883565266927
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,3584,3.0943963792588978
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,3072,2.5492070515950522
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,3072,5.059245215521918
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,7168,6.119177924262153
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,6144,5.308908250596788
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,2560,4.2445322672526045
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,5120,4.44392818874783
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,2560,2.1207093132866754
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,2048,3.362751007080078
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,4096,3.5103982289632163
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,2048,1.6240737703111436
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,1536,2.4879769219292536
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,1536,1.2693333095974393
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,1024,1.733039961920844
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,1024,0.9206213421291776
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,768,1.2598649130927193
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,768,0.7707200050354004
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,3584,3.1160426669650607
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,512,0.9230168660481771
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,512,0.5958053270975748
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,2560,2.2288470798068576
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,256,0.5199742317199707
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8,8192,65536,256,0.47499291102091473
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,fp8_block,8192,65536,3072,2.7055119408501516
SGLang,0.5.6.post2,NVIDIA H200,gemm,sglang,float16,8192,65536,128,0.4265608787536621
