framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,1,0.13703199625015258
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,1,0.16503360271453857
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,3,0.13685760498046876
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,3,0.16518080234527588
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,7,0.13684480190277098
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,7,0.16514719724655152
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,15,0.1374384045600891
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,15,0.1653280019760132
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,31,0.14143999814987182
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,31,0.1657871961593628
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,63,0.14612480401992797
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,63,0.17609119415283203
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,127,0.15050079822540283
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,127,0.18046879768371582
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,255,0.20679519176483155
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,255,0.23381600379943848
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,511,0.3182384014129639
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,511,0.3532383918762207
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,1023,0.5712992191314697
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,1023,0.5427536010742188
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,float16,2047,1.0775055885314941
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,64,1,64,64,128,1,float16,fp8,2047,0.9757391929626464
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,float16,1,0.02046400010585785
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,fp8,1,0.020707200467586517
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,float16,3,0.020102399587631225
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,fp8,3,0.020776000618934632
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,float16,7,0.019926400482654573
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,fp8,7,0.02080480009317398
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,float16,15,0.019843199849128725
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,fp8,15,0.02056960016489029
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,float16,31,0.019993600249290467
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,fp8,31,0.020529599487781526
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,float16,63,0.019782400131225585
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,fp8,63,0.020572799444198608
SGLang,0.5.6.post2,NVIDIA H200,generation_attention,flash_attention,1,1,64,64,128,1,float16,float16,127,0.0200095996260643
