framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,8,16384,96,2,128,1,fp8,fp8,0,72.96143086751302
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,8,16384,96,1,128,1,fp8,fp8,0,72.85207621256511
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,8,16384,96,4,128,1,fp8,fp8,0,71.35386657714844
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,1,128,1,float16,float16,0,49.97113545735677
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,1,128,1,float16,fp8,0,49.99133809407552
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,8,16384,96,8,128,1,fp8,fp8,0,72.05377197265625
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,1,128,1,fp8,fp8,0,33.2641855875651
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,96,128,1,float16,float16,0,50.226704915364586
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,2,128,1,float16,float16,0,50.01563008626302
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,96,128,1,float16,fp8,0,50.12334696451823
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,2,128,1,float16,fp8,0,50.166534423828125
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,2,128,1,fp8,fp8,0,33.21981302897135
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,4,128,1,float16,float16,0,50.22521464029948
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,4,128,1,float16,fp8,0,49.91356913248698
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,4,128,1,fp8,fp8,0,33.692891438802086
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,8,128,1,float16,float16,0,50.1163584391276
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,8,128,1,float16,fp8,0,50.135965983072914
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,1,128,1,float16,float16,0,25.59479014078776
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,4,16384,96,8,128,1,fp8,fp8,0,33.221717834472656
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,1,128,1,float16,fp8,0,25.425582885742188
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,1,128,1,fp8,fp8,0,16.78338114420573
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,2,128,1,float16,float16,0,25.693936665852863
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,96,128,1,float16,fp8,0,25.28014882405599
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,96,128,1,fp8,fp8,0,17.141050974527996
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,96,128,1,float16,float16,0,25.8818359375
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,2,128,1,fp8,fp8,0,16.740453084309895
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,4,128,1,float16,fp8,0,25.163497924804688
TRTLLM,1.0.0rc3,NVIDIA H200,context_attention,torch_flow,2,16384,96,4,128,1,float16,float16,0,25.491844177246094
