framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,64,1,16,1,0,0.014639999717473984
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,32,1,16,2,0,0.0129120002190272
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,1,1,16,64,0,0.01184533288081487
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,8,1,16,8,0,0.013610667238632837
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,16,1,16,4,0,0.013786666095256805
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,32,1,16,2,0,0.012885333349307379
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,4,1,16,16,0,0.01292266696691513
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,16,1,16,4,0,0.012608000387748083
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,2,1,16,32,0,0.01198400060335795
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,64,1,16,1,0,0.014848000059525171
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,2,1,16,32,0,0.01184533288081487
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,1,1,16,64,0,0.01192533348997434
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,4,1,16,16,0,0.011861333002646765
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,64,1,32,1,0,0.013162666310866674
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,32,1,32,2,0,0.013653332988421122
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,16,1,32,4,0,0.012773333738247553
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,8,1,32,8,0,0.012448000411192576
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,4,1,32,16,0,0.012128000458081564
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,2,1,32,32,0,0.012576000144084295
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,1,1,32,64,0,0.012282667060693106
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,64,1,32,1,0,0.013114667187134424
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,32,1,32,2,0,0.013616000612576803
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,8,1,16,8,0,0.013541333377361298
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,8,1,32,8,0,0.012448000411192576
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,16,1,32,4,0,0.014901333798964819
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,4,1,32,16,0,0.012613333761692047
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,2,1,32,32,0,0.012597333639860153
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,1,1,32,64,0,0.012805332740147909
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,16,1,64,4,0,0.013738666971524557
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,64,1,64,1,0,0.014565333724021912
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,4,1,64,16,0,0.013514666507641474
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,8,1,64,8,0,0.013967999567588171
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,32,1,64,2,0,0.014389333625634512
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,2,1,64,32,0,0.013536000003417334
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,1,1,64,64,0,0.013487999637921652
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,32,1,64,2,0,0.01393066719174385
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,64,1,64,1,0,0.014815999815861383
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,16,1,64,4,0,0.013898666948080063
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,8,1,64,8,0,0.014138666292031607
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,4,1,64,16,0,0.01505600040157636
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,2,1,64,32,0,0.013418667018413544
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,1,1,64,64,0,0.013642666240533194
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,64,1,128,1,0,0.01657066618402799
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,32,1,128,2,0,0.015781333049138386
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,8,1,128,8,0,0.015013333410024643
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,16,1,128,4,0,0.015589332828919092
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,4,1,128,16,0,0.015050667027632395
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,2,1,128,32,0,0.014645333091417948
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,1,1,128,64,0,0.015834666788578033
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,16,1,128,4,0,0.015594666202863058
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,8,1,128,8,0,0.017456000049908955
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,32,1,128,2,0,0.015642666568358738
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,64,1,128,1,0,0.016544000556071598
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,4,1,128,16,0,0.015082667271296183
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,2,1,128,32,0,0.01479999969402949
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,1,1,128,64,0,0.014650666465361914
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,64,1,256,1,0,0.019093333433071773
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,16,1,256,4,0,0.016352000335852306
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,32,1,256,2,0,0.017450666675964992
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,1,1,256,64,0,0.015840000162522
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,8,1,256,8,0,0.016389333953460056
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,4,1,256,16,0,0.015919999529918034
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,64,1,256,1,0,0.01930133377512296
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,2,1,256,32,0,0.016016000260909397
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,16,1,256,4,0,0.0163680004576842
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,32,1,256,2,0,0.02882133424282074
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,8,1,256,8,0,0.016309333344300587
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,4,1,256,16,0,0.016021333634853363
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,1,1,256,64,0,0.015802666544914246
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,2,1,256,32,0,0.015781333049138386
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,32,1,512,2,0,0.021877333521842957
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,64,1,512,1,0,0.03196800003449122
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,16,1,512,4,0,0.02072000006834666
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,8,1,512,8,0,0.020117333779732387
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,4,1,512,16,0,0.019861333072185516
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,2,1,512,32,0,0.019296000401178997
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,1,1,512,64,0,0.019466667125622433
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,64,1,512,1,0,0.03164266546567281
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,32,1,512,2,0,0.021888000269730885
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,16,1,512,4,0,0.020917333662509918
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,8,1,512,8,0,0.019925333559513092
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,4,1,512,16,0,0.020202666521072388
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,2,1,512,32,0,0.01951466624935468
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,float16,1,1,512,64,0,0.019466667125622433
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,16,1,1024,4,0,0.029391999046007793
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,32,1,1024,2,0,0.03941333293914795
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,8,1,1024,8,0,0.028351999819278717
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,4,1,1024,16,0,0.027098665634791057
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,2,1,1024,32,0,0.027477333943049114
TRTLLM,1.0.0rc3,NVIDIA H200,mla_context,default,float16,fp8,1,1,1024,64,0,0.026954665780067444
