framework,version,device,op_name,kernel_source,m,k,quant_dtype,latency
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,16384,fp8,0.2583807945251465
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,12288,fp8,0.19457173347473145
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,10240,fp8,0.1627914587656657
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,8192,fp8,0.13080639839172364
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,7168,fp8,0.11481813589731853
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,6144,fp8,0.09911039670308432
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,5120,fp8,0.08311786651611328
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,4096,fp8,0.06732587019602457
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,3584,fp8,0.05926506519317627
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,3072,fp8,0.051261866092681886
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,2560,fp8,0.04337386687596639
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,2048,fp8,0.033037867148717245
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,1536,fp8,0.018338133891423546
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,1024,fp8,0.01307093302408854
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,768,fp8,0.010071466366449993
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,512,fp8,0.007494399944941203
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,256,fp8,0.004704000055789947
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,128,fp8,0.0037759999434153237
TRTLLM,1.0.0rc3,NVIDIA H200,scale_matrix,torch_ops,8192,64,fp8,0.0032170665760835014
