framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,1,64,128,1,float16,float16,0,8.484858830769857
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,1,64,128,1,float16,fp8,0,8.395306905110678
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,1,64,128,1,fp8,fp8,0,10.977802276611328
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,2,64,128,1,float16,float16,0,8.587765375773111
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,2,64,128,1,float16,fp8,0,8.530314763387045
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,2,64,128,1,fp8,fp8,0,11.09988784790039
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,4,64,128,1,float16,float16,0,8.662805557250977
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,float16,0,57.39753723144531
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,1,64,0,1,fp8,fp8,0,51.64247131347656
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,fp8,0,57.41568501790365
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,4,64,128,1,float16,fp8,0,8.534144083658854
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,4,64,128,1,fp8,fp8,0,11.133188883463541
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,2,64,0,1,float16,float16,0,57.11286417643229
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,8,64,128,1,float16,float16,0,8.666410446166992
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,2,64,0,1,float16,fp8,0,57.64348856608073
TRTLLM,1.2.0rc5,NVIDIA H200,context_attention,torch_flow,8,16384,96,2,64,0,1,fp8,fp8,0,51.539449055989586
