framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,1,0.011957333733638128
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,31,0.012042666474978128
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,1,0.01314666618903478
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,31,0.012847999731699625
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,63,0.011861333002646765
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,3,0.011952000359694162
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,63,0.012719999998807907
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,127,0.012133333832025528
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,127,0.014858666807413101
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,255,0.013493333011865616
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,255,0.01498666654030482
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,511,0.015471999843915304
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,511,0.01756799966096878
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,1023,0.020026666422684986
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,1023,0.0223786657055219
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,2047,0.028730665644009907
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,2047,0.0324799989660581
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,4095,0.048063998421033226
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,3,0.013237333546082178
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,4095,0.05272533496220907
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,1,0.012165332833925882
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,1,0.013023999830087027
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,3,0.012426666915416718
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,3,0.012986666212479273
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,7,0.011855999628702799
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,7,0.012837332983811697
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,15,0.01250133290886879
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,15,0.013034666577974955
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,31,0.012005332857370377
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,31,0.012970666090647379
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,float16,63,0.01221866657336553
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,2,128,1,float16,fp8,63,0.013183999806642532
