framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,16384,96,1,128,1,float16,float16,0,117.67823486328125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,16384,96,96,128,1,float16,float16,0,129.63681640625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,16384,96,2,128,1,float16,float16,0,117.0471923828125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,16384,96,4,128,1,float16,float16,0,118.5892822265625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,16384,96,1,128,1,float16,float16,0,58.08583984375
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,16384,96,1,128,1,float16,float16,0,233.6639404296875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,16384,96,96,128,1,float16,float16,0,64.85524291992188
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,16384,96,2,128,1,float16,float16,0,57.67659301757813
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,16384,96,2,128,1,float16,float16,0,235.118603515625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,16384,96,4,128,1,float16,float16,0,239.642626953125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,16384,96,8,128,1,float16,float16,0,243.1498291015625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,16384,96,1,128,1,float16,float16,0,28.257281494140624
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,16384,96,96,128,1,float16,float16,0,31.990579223632814
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,16384,96,8,128,1,float16,float16,0,121.19029541015625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,16384,96,4,128,1,float16,float16,0,59.1383544921875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,16384,96,8,128,1,float16,float16,0,59.243109130859374
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,16384,96,2,128,1,float16,float16,0,28.393472290039064
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,16384,96,4,128,1,float16,float16,0,28.981707763671874
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,16384,96,8,128,1,float16,float16,0,29.647308349609375
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,12288,96,2,128,1,float16,float16,0,66.340966796875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,12288,96,1,128,1,float16,float16,0,66.41679077148437
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,12288,96,96,128,1,float16,float16,0,76.72330322265626
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,12288,96,4,128,1,float16,float16,0,68.93870239257812
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,12288,96,1,128,1,float16,float16,0,133.87227783203124
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,12288,96,2,128,1,float16,float16,0,136.04822998046876
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,12288,96,4,128,1,float16,float16,0,138.0801025390625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,12288,96,96,128,1,float16,float16,0,37.385369873046876
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,12288,96,1,128,1,float16,float16,0,32.79600219726562
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,12288,96,2,128,1,float16,float16,0,33.01340026855469
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,12288,96,8,128,1,float16,float16,0,136.2491943359375
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,12288,96,1,128,1,float16,float16,0,16.15447082519531
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,12288,96,96,128,1,float16,float16,0,18.46307830810547
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,12288,96,4,128,1,float16,float16,0,33.06501159667969
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,12288,96,2,128,1,float16,float16,0,15.867594909667968
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,12288,96,8,128,1,float16,float16,0,68.36295776367187
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,12288,96,4,128,1,float16,float16,0,16.263320922851562
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,12288,96,8,128,1,float16,float16,0,33.408102416992186
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,12288,96,8,128,1,float16,float16,0,16.546815490722658
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,10240,96,1,128,1,float16,float16,0,46.476287841796875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,10240,96,2,128,1,float16,float16,0,46.528564453125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,10240,96,4,128,1,float16,float16,0,46.64289245605469
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,10240,96,96,128,1,float16,float16,0,54.3414794921875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,10240,96,2,128,1,float16,float16,0,22.77217254638672
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,10240,96,1,128,1,float16,float16,0,93.51470336914062
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,10240,96,96,128,1,float16,float16,0,26.618008422851563
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,10240,96,1,128,1,float16,float16,0,22.58252868652344
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,10240,96,2,128,1,float16,float16,0,94.3299072265625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,10240,96,4,128,1,float16,float16,0,96.73897094726563
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,10240,96,8,128,1,float16,float16,0,96.36874389648438
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,10240,96,8,128,1,float16,float16,0,48.01674194335938
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,10240,96,1,128,1,float16,float16,0,11.022335815429688
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,10240,96,96,128,1,float16,float16,0,13.220863342285156
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,10240,96,2,128,1,float16,float16,0,11.445862579345704
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,10240,96,4,128,1,float16,float16,0,11.779634857177735
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,10240,96,8,128,1,float16,float16,0,11.470489501953125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,10240,96,4,128,1,float16,float16,0,22.968882751464843
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,10240,96,8,128,1,float16,float16,0,23.511135864257813
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,8192,96,1,128,1,float16,float16,0,60.265576171875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,8192,96,2,128,1,float16,float16,0,61.126043701171874
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,8192,96,4,128,1,float16,float16,0,62.008673095703124
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,8192,96,96,128,1,float16,float16,0,74.5248779296875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,8192,96,1,128,1,float16,float16,0,29.685147094726563
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,8192,96,96,128,1,float16,float16,0,35.83375244140625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,8192,96,1,128,1,float16,float16,0,124.46248779296874
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,8192,96,2,128,1,float16,float16,0,30.349465942382814
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,8192,96,2,128,1,float16,float16,0,123.138916015625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,8192,96,4,128,1,float16,float16,0,125.00428466796875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,8192,96,8,128,1,float16,float16,0,127.63990478515625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,8192,96,8,128,1,float16,float16,0,62.85311279296875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,8192,96,1,128,1,float16,float16,0,14.701210021972656
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,8192,96,96,128,1,float16,float16,0,17.68826904296875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,8192,96,2,128,1,float16,float16,0,14.602854919433593
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,8192,96,4,128,1,float16,float16,0,30.45447692871094
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,8192,96,4,128,1,float16,float16,0,15.237017822265624
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,8192,96,8,128,1,float16,float16,0,15.461631774902344
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,8192,96,8,128,1,float16,float16,0,30.68968811035156
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,8192,96,96,128,1,float16,float16,0,8.661759948730468
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,8192,96,1,128,1,float16,float16,0,7.312640380859375
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,8192,96,2,128,1,float16,float16,0,7.193548583984375
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,8192,96,4,128,1,float16,float16,0,7.116697692871094
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,8192,96,8,128,1,float16,float16,0,7.4302978515625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,6144,96,1,128,1,float16,float16,0,34.691122436523436
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,6144,96,2,128,1,float16,float16,0,34.036581420898436
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,6144,96,4,128,1,float16,float16,0,35.177728271484376
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,6144,96,96,128,1,float16,float16,0,43.31356201171875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,6144,96,1,128,1,float16,float16,0,69.79855346679688
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,6144,96,2,128,1,float16,float16,0,71.1605224609375
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,6144,96,4,128,1,float16,float16,0,72.0847900390625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,6144,96,8,128,1,float16,float16,0,72.95554809570312
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,6144,96,96,128,1,float16,float16,0,21.164288330078126
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,6144,96,1,128,1,float16,float16,0,16.842291259765624
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,6144,96,2,128,1,float16,float16,0,17.396018981933594
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,6144,96,8,128,1,float16,float16,0,35.37100830078125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,6144,96,96,128,1,float16,float16,0,10.428518676757813
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,6144,96,1,128,1,float16,float16,0,8.423423767089844
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,6144,96,4,128,1,float16,float16,0,17.342976379394532
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,6144,96,2,128,1,float16,float16,0,8.438374328613282
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,6144,96,4,128,1,float16,float16,0,8.315033721923829
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,6144,96,8,128,1,float16,float16,0,17.674290466308594
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,2,6144,96,8,128,1,float16,float16,0,8.673996734619141
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,6144,96,96,128,1,float16,float16,0,5.0860542297363285
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,6144,96,1,128,1,float16,float16,0,3.765398406982422
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,6144,96,4,128,1,float16,float16,0,4.108902359008789
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,6144,96,2,128,1,float16,float16,0,4.064972686767578
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,1,6144,96,8,128,1,float16,float16,0,4.0840190887451175
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,4096,96,1,128,1,float16,float16,0,31.29595031738281
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,4096,96,2,128,1,float16,float16,0,31.65767822265625
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,4096,96,4,128,1,float16,float16,0,32.89323425292969
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,4096,96,96,128,1,float16,float16,0,42.578329467773436
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,32,4096,96,1,128,1,float16,float16,0,65.04427490234374
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,32,4096,96,2,128,1,float16,float16,0,65.7680908203125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,32,4096,96,4,128,1,float16,float16,0,67.09074096679687
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,4096,96,1,128,1,float16,float16,0,15.955763244628907
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,4096,96,96,128,1,float16,float16,0,20.53729248046875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,32,4096,96,8,128,1,float16,float16,0,67.87359008789062
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,4096,96,2,128,1,float16,float16,0,15.801446533203125
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,16,4096,96,8,128,1,float16,float16,0,32.8848388671875
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,8,4096,96,4,128,1,float16,float16,0,16.179405212402344
SGLang,0.5.5.post3,NVIDIA L40S,context_attention,flash_attention,4,4096,96,96,128,1,float16,float16,0,10.346288299560547
