framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,window_size,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,float16,0,176.8089599609375
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,1,64,0,1,float16,fp8,0,179.4908243815104
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,2,64,0,1,float16,float16,0,177.38614908854166
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,1,64,0,1,fp8,fp8,0,232.8183390299479
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,4,64,0,1,float16,float16,0,180.0997517903646
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,2,64,0,1,float16,fp8,0,180.87288411458334
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,4,64,0,1,float16,fp8,0,181.9178670247396
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,2,64,0,1,fp8,fp8,0,238.4185994466146
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,96,64,0,1,float16,float16,0,94.69371541341145
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,8,64,0,1,float16,float16,0,180.25130208333334
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,96,64,0,1,float16,fp8,0,93.5338643391927
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,96,64,0,1,fp8,fp8,0,123.01943969726562
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,8,64,0,1,float16,fp8,0,180.57574462890625
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,4,64,0,1,fp8,fp8,0,236.7332763671875
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,1,64,0,1,float16,float16,0,94.96422322591145
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,8,16384,96,8,64,0,1,fp8,fp8,0,237.5594685872396
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,1,64,0,1,float16,fp8,0,93.11215209960938
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,2,64,0,1,float16,float16,0,92.42794799804688
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,1,64,0,1,fp8,fp8,0,114.86686197916667
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,2,64,0,1,float16,fp8,0,93.08193969726562
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,4,64,0,1,float16,float16,0,89.2035420735677
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,4,64,0,1,float16,fp8,0,93.17990112304688
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,2,64,0,1,fp8,fp8,0,115.02677408854167
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,2,16384,96,96,64,0,1,float16,float16,0,46.55257670084635
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,2,16384,96,96,64,0,1,float16,fp8,0,45.55895487467448
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,8,64,0,1,float16,float16,0,91.35547892252605
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,8,64,0,1,float16,fp8,0,89.51210530598958
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,2,16384,96,1,64,0,1,float16,float16,0,44.60407511393229
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,2,16384,96,96,64,0,1,fp8,fp8,0,61.45006815592448
TRTLLM,1.0.0,NVIDIA L40S,context_attention,torch_flow,4,16384,96,4,64,0,1,fp8,fp8,0,116.03711954752605
