framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,64,1,1,1,1,0.009557333464423815
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,32,1,1,2,1,0.011152000476916632
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,8,1,1,8,1,0.010543999572594961
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,16,1,1,4,1,0.010581333190202713
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,2,1,1,32,1,0.009045333291093508
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,1,1,1,64,1,0.0102186668664217
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,64,1,1,1,1,0.010751999914646149
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,16,1,1,4,1,0.009216000015536943
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,8,1,1,8,1,0.00938666673998038
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,32,1,1,2,1,0.00938666673998038
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,4,1,1,16,1,0.009045333291093508
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,2,1,1,32,1,0.010239999741315842
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,1,1,1,64,1,0.010410666465759277
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,4,1,1,16,1,0.01003200002014637
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,16,1,1,4,3,0.009216000015536943
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,8,1,1,8,3,0.009216000015536943
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,64,1,1,1,3,0.011946666985750198
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,4,1,1,16,3,0.009216000015536943
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,2,1,1,32,3,0.010069333637754122
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,32,1,1,2,3,0.010410666465759277
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,32,1,1,2,3,0.00938666673998038
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,64,1,1,1,3,0.009557333464423815
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,16,1,1,4,3,0.010581333190202713
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,4,1,1,16,3,0.010575999816258749
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,1,1,1,64,3,0.009898666913310686
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,8,1,1,8,3,0.010410666465759277
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,2,1,1,32,3,0.010239999741315842
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,1,1,1,64,3,0.010384000216921171
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,64,1,1,1,7,0.009557333464423815
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,16,1,1,4,7,0.00972800018886725
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,8,1,1,8,7,0.010581333190202713
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,32,1,1,2,7,0.010581333190202713
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,4,1,1,16,7,0.010410666465759277
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,1,1,1,64,7,0.010922666639089584
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,64,1,1,1,7,0.010751999914646149
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,2,1,1,32,7,0.010239999741315842
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,8,1,1,8,7,0.009557333464423815
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,16,1,1,4,7,0.013653332988421122
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,32,1,1,2,7,0.009216000015536943
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,4,1,1,16,7,0.010239999741315842
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,2,1,1,32,7,0.009045333291093508
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,64,1,1,1,15,0.009557333464423815
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,32,1,1,2,15,0.00938666673998038
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,float16,1,1,1,64,7,0.010389333590865135
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,16,1,1,4,15,0.009216000015536943
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,8,1,1,8,15,0.010239999741315842
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,4,1,1,16,15,0.009216000015536943
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,1,1,1,64,15,0.010581333190202713
TRTLLM,1.0.0,NVIDIA L40S,mla_generation,default,float16,fp8,2,1,1,32,15,0.009898666913310686
