framework,version,device,op_name,kernel_source,m,k,quant_dtype,latency
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,16384,fp8,0.7063210805257161
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,12288,fp8,0.522001075744629
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,10240,fp8,0.43215465545654297
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,8192,fp8,0.3424597422281901
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,7168,fp8,0.29757439295450844
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,6144,fp8,0.2540544033050537
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,5120,fp8,0.211080535252889
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,4096,fp8,0.08772266705830892
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,3584,fp8,0.039389868577321366
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,3072,fp8,0.034577067693074545
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,2560,fp8,0.028842665751775104
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,2048,fp8,0.023413334290186563
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,1536,fp8,0.01802240014076233
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,1024,fp8,0.012492799758911132
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,768,fp8,0.009830400347709656
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,512,fp8,0.007099733253320058
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,256,fp8,0.004300799965858459
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,128,fp8,0.0029696000119050344
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,64,fp8,0.0022869333624839783
TRTLLM,1.0.0,NVIDIA L40S,scale_matrix,torch_ops,8192,32,fp8,0.0020810666183630625
