framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,4096,17.371448092990452
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,5120,21.75271775987413
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,6144,26.123833550347225
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,7168,29.879465738932293
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,8192,34.01915825737847
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,3584,15.287751939561632
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,3072,13.38843027750651
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,2560,11.203470018174913
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,2048,8.987847222222223
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,1024,4.854272206624349
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,768,3.8276265462239585
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,256,1.593486256069607
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,1536,6.892174190945095
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,512,2.735502243041992
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,128,1.1699199676513672
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,64,1.0707342359754775
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,10240,43.11577690972222
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,32,0.809301323360867
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,12288,51.556067572699654
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,16384,8192,8.455850389268663
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,16384,7168,7.548017713758681
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,65536,16384,66.61393229166667
SGLang,0.5.8,NVIDIA A100-SXM4-80GB,gemm,sglang,float16,8192,16384,10240,11.073280334472656
