framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,128,0.004956159889698029,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,128,0.04661248207092285,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,256,0.00502784013748169,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,256,0.04637695789337158,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,512,0.005038080215454101,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,512,0.04673535823822021,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,1024,0.0050687998533248905,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,1024,0.0469708776473999,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,2048,0.0050687998533248905,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,2048,0.04655104160308838,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,4096,0.005171200037002563,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,4096,0.04619264125823975,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,8192,0.005222399830818176,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,8192,0.0466431999206543,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,16384,0.005478399991989136,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,16384,0.04660223960876465,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,32768,0.005447679758071899,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,32768,0.04700160026550293,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,65536,0.005877760052680969,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,65536,0.04661248207092285,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,131072,0.006410239934921265,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,131072,0.04681727886199951,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,262144,0.0078438401222229,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,262144,0.04709375858306884,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,524288,0.011110399961471559,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,2,524288,0.14215167999267578,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,2,1048576,0.015073280334472656,vllm_graph
