framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,4096,15.29301283094618
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,5120,18.938425699869793
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,6144,22.548507690429688
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,7168,26.193550957573787
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,3584,13.473848978678385
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,8192,29.810373942057293
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,3072,11.669503953721788
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,2560,9.866126166449652
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,2048,8.045995076497396
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,512,2.3221475813123917
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,1024,4.386389414469401
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,768,3.2843093872070312
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,32,0.8079075813293457
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,256,1.4180693096584742
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,64,1.0008746253119576
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,128,1.5326435301038954
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,1536,6.213262346055772
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,gemm,vllm_default,float16,8192,65536,10240,37.05847507052952
