framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,128,1,1,1,1,0.3285333315531413
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,128,2,1,1,1,0.31487999359766644
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,64,2,1,2,1,0.31197865804036456
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,64,1,1,2,1,0.3283626635869344
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,32,1,1,4,1,0.3495253324508667
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,32,2,1,4,1,0.340992013613383
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,16,2,1,8,1,0.3454293409983317
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,4,2,1,32,1,0.3433813254038493
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,2,2,1,64,1,0.3213653365770976
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,8,2,1,16,1,0.3179519971211751
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,1,2,1,128,1,0.32870399951934814
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,128,4,1,1,1,0.32255999247233075
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_mla,vllm_triton_mla,float16,float16,64,4,1,2,1,0.3341653347015381
