framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,4096,14336,2,8,1,1,power_law_1.01,0.4567039966583252
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,7168,2048,8,256,1,1,power_law_1.2,0.43376641273498534
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,4096,14336,2,8,1,1,power_law_1.01,0.6286335945129394
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,7168,2048,8,256,1,1,power_law_1.01,0.4334591865539551
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,6144,16384,2,8,1,1,power_law_1.01,0.7483391761779785
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,4096,14336,2,8,1,1,power_law_1.2,0.4555776119232178
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,4,4096,14336,2,8,1,1,power_law_1.01,0.8382464408874511
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,4096,14336,2,8,1,1,power_law_1.2,0.6689792156219483
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,6144,16384,2,8,1,1,power_law_1.2,0.7477248191833497
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,6144,16384,2,8,1,1,power_law_1.01,1.1256832122802733
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,2048,768,8,128,1,1,power_law_1.2,0.06492159962654113
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,1,2048,768,8,128,1,1,power_law_1.01,0.06481919884681701
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,4,4096,14336,2,8,1,1,power_law_1.2,0.7270400047302246
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,6144,16384,2,8,1,1,power_law_1.2,1.0576895713806151
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,4,6144,16384,2,8,1,1,power_law_1.01,1.4050304412841796
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,4,6144,16384,2,8,1,1,power_law_1.2,1.3726719856262206
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,8,4096,14336,2,8,1,1,power_law_1.01,1.558732795715332
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,7168,2048,8,256,1,1,power_law_1.2,0.8062975883483887
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,7168,2048,8,256,1,1,power_law_1.01,0.8424448013305664
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,2048,768,8,128,1,1,power_law_1.2,0.07434239983558655
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,8,4096,14336,2,8,1,1,power_law_1.2,1.6152576446533202
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,2,2048,768,8,128,1,1,power_law_1.01,0.07127040028572082
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,8,6144,16384,2,8,1,1,power_law_1.01,2.717900848388672
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,4,2048,768,8,128,1,1,power_law_1.2,0.1381376028060913
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,4,2048,768,8,128,1,1,power_law_1.01,0.1539072036743164
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,4,7168,2048,8,256,1,1,power_law_1.2,0.9675775527954101
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,moe,vllm_fused_moe,float16,8,6144,16384,2,8,1,1,power_law_1.2,2.8075008392333984
