framework,version,device,op_name,kernel_source,m,k,quant_dtype,latency
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,16384,fp8,0.08925867080688477
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,12288,fp8,0.06771626472473147
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,10240,fp8,0.057636276880900034
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,8192,fp8,0.04430400530497233
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,7168,fp8,0.038129067420959464
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,6144,fp8,0.030738123257954914
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,5120,fp8,0.01970345973968507
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,4096,fp8,0.02154453198115032
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,3584,fp8,0.027176535129547118
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,3072,fp8,0.021486934026082358
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,2560,fp8,0.017594665288925174
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,2048,fp8,0.014440530538558958
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,1536,fp8,0.014070399602254233
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,1024,fp8,0.012416001160939535
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,768,fp8,0.012321066856384278
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,512,fp8,0.011219199995199838
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,256,fp8,0.011221333344777427
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,128,fp8,0.010401067137718201
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,64,fp8,0.00900693361957868
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,32,fp8,0.009140266478061676
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,8192,65536,fp8,0.0
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,4096,16384,fp8,0.042670933405558276
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,4096,12288,fp8,0.03613012631734211
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,4096,10240,fp8,0.01931626796722412
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,4096,8192,fp8,0.02521066665649413
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,4096,7168,fp8,0.00538559754689534
TRTLLM,1.0.0rc6,NVIDIA B200,compute_scale,torch_ops,4096,6144,fp8,0.03292266527811686
