framework,version,device,op_name,kernel_source,gemm_dtype,m,n,k,latency
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,16384,6.620044962565105
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,16384,12.227721150716146
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,12288,4.66469980875651
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,12288,8.86326395670573
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,10240,7.551324971516927
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,8192,3.2053942362467445
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,10240,3.9793024698893227
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,7168,5.400663248697916
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,7168,2.537545522054036
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,8192,6.100254821777344
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,6144,2.19727783203125
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,6144,4.405842081705729
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,5120,2.0421727498372393
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,5120,3.632473500569662
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,4096,2.784697723388672
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,4096,1.6433344523111981
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,4096,1.095464579264323
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,3584,2.612262471516927
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,3584,1.2821632385253907
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,5120,1.3222260793050131
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,3072,1.973841094970703
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,3072,1.0872544606526693
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,6144,1.562451171875
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,2560,1.6165013631184895
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,2560,0.9691573460896811
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,3584,0.9623861312866211
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,2048,1.275598907470703
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,2048,0.8014528274536132
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,7168,1.8762400309244793
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,1536,0.984438387552897
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,1536,0.5686464309692383
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,3072,0.8166389465332031
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,1024,0.6716341018676758
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,1024,0.4422165234883626
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,2048,0.5933322906494141
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,768,0.5328277269999186
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,768,0.3908512115478516
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,1024,0.3753770510355631
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,512,0.39712212880452474
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,512,0.2887082735697428
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,8192,2.085759989420573
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,256,0.26926507949829104
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,256,0.22087359428405762
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,10240,2.6779190063476563
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,2560,0.7025354385375977
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,128,0.22238079706827799
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,128,0.21660052935282387
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,64,0.2030346711476644
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,64,0.2067200024922689
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,65536,32,0.19289387067159017
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,65536,32,0.2023296038309733
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,128,0.1932810624440511
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,256,0.22181973457336426
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,65536,12.1353271484375
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,65536,7.1880950927734375
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,1536,0.4845898628234863
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,16384,1.8166496276855468
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,16384,2.8184351603190105
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,768,0.32138134638468424
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,12288,1.305142339070638
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,12288,2.124664560953776
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,10240,1.238868204752604
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,10240,1.8089611053466796
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,8192,1.4225578308105469
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,8192,0.8854122797648112
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,512,0.2837237358093262
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,7168,1.2335285186767577
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,7168,0.8150549570719401
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,16384,7168,0.5179775873819987
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,6144,0.9630538940429687
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,6144,0.6409952163696289
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,16384,8192,0.6287893295288086
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,5120,0.7985151926676433
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,5120,0.5381130854288737
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,16384,10240,0.7840213139851888
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,4096,0.627073097229004
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,4096,0.48768959045410154
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,65536,12288,3.2941813151041663
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,3584,0.5694453557332356
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,3584,0.3708352088928223
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,nvfp4,8192,16384,12288,0.9352533340454101
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,float16,8192,16384,3072,0.509881591796875
TRTLLM,1.2.0rc5,NVIDIA B200,gemm,torch_flow,fp8,8192,16384,3072,0.3874293327331543
