framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,128,1,float16,float16,0,44.741292317708336
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,128,1,fp8,fp8,0,33.12384033203125
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,1,128,1,float16,fp8,0,44.98311869303385
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,128,1,float16,float16,0,43.35377502441406
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,128,1,float16,fp8,0,41.49094899495443
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,4,128,1,fp8,fp8,0,33.14466094970703
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,8,128,1,float16,float16,0,43.88880411783854
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,8,128,1,float16,fp8,0,42.84723409016927
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,8,16384,96,8,128,1,fp8,fp8,0,33.67388916015625
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,4,16384,96,96,128,1,float16,float16,0,22.895609537760418
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,4,16384,96,1,128,1,float16,float16,0,21.84380340576172
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,4,16384,96,1,128,1,float16,fp8,0,22.019930521647137
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,4,16384,96,96,128,1,float16,fp8,0,22.79747772216797
TRTLLM,1.0.0rc6,NVIDIA GB200,context_attention,torch_flow,4,16384,96,1,128,1,fp8,fp8,0,16.806570688883465
