framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,1,0.03311466674009959
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,7,0.03310399999221166
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,7,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,3,0.03310933212439219
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,1,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,3,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,15,0.03310933212439219
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,31,0.03310933212439219
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,15,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,31,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,63,0.03310933212439219
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,63,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,127,0.03310933212439219
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,127,0.026965332527955372
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,255,0.03549866626660029
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,255,0.02696000039577484
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,511,0.053930665055910744
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,511,0.03994133323431015
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,1023,0.09181867043177287
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,1023,0.05836800237496694
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,2047,0.17373865842819214
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,2047,0.10069333513577779
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,float16,4095,0.3285333315531413
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,1,0.013728000223636627
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,32,1,64,64,128,1,float16,fp8,4095,0.17425066232681274
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,3,0.010821333775917688
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,1,0.010858666151762009
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,3,0.012698666503032049
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,7,0.010858666151762009
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,7,0.010922666639089584
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,15,0.010863999525705973
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,15,0.012517333030700684
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,31,0.010512000570694605
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,31,0.012533333152532578
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,63,0.011605333536863327
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,63,0.013141332815090815
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,127,0.010522666076819101
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,127,0.01098666712641716
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,255,0.010853332777818045
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,255,0.012351999680201212
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,511,0.01302933320403099
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,511,0.012565333396196365
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,1023,0.012805332740147909
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,1023,0.012869333227475485
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,2047,0.014842666685581207
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,4095,0.019050666441520054
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,4095,0.018863999595244724
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,8191,0.03515733281771342
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,8191,0.022869333624839783
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,fp8,16383,0.03515200068553289
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,1,1,64,64,128,1,float16,float16,16383,0.05578133463859558
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,1,0.012730666746695837
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,1,0.010863999525705973
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,3,0.012522666404644648
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,3,0.010853332777818045
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,7,0.010687999427318573
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,7,0.012533333152532578
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,15,0.01257066677014033
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,31,0.012357333054145178
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,15,0.010863999525705973
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,31,0.01257066677014033
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,63,0.012341332932313284
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,63,0.01257066677014033
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,127,0.010933333386977514
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,127,0.012527999778588613
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,255,0.012741333494583765
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,255,0.01097600037852923
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,511,0.012863999853531519
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,511,0.012565333396196365
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,1023,0.014736000448465347
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,1023,0.014570667097965876
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,2047,0.019061333189407986
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,2047,0.01870399961868922
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,4095,0.03549866626660029
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,4095,0.022869333624839783
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,8191,0.037205333511034645
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,8191,0.05734399954477946
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,float16,16383,0.0993280013402303
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,2,1,64,64,128,1,float16,fp8,16383,0.05972800155480703
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,float16,1,0.05563733478387197
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,fp8,1,0.04131199916203817
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,fp8,3,0.043354665239652
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,float16,7,0.05563733478387197
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,fp8,7,0.04334933559099833
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,float16,15,0.055642664432525635
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,fp8,15,0.04334933559099833
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,float16,31,0.05563733478387197
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,fp8,31,0.04334933559099833
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,float16,63,0.05563200016816457
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,fp8,63,0.043354665239652
TRTLLM,1.0.0rc6,NVIDIA GB200,generation_attention,torch_flow,64,1,64,64,128,1,float16,float16,127,0.0576853354771932
