framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,128,1,1,1,1,0.011567999919255575
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,16,1,1,8,1,0.011264000087976456
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,32,1,1,4,1,0.011034666250149408
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,4,1,1,32,1,0.011098666737476984
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,2,1,1,64,1,0.011002667248249054
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,1,1,1,128,1,0.011514666179815928
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,128,1,1,1,1,0.012746666868527731
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,64,1,1,2,1,0.013183999806642532
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,32,1,1,4,1,0.012975999464591345
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,16,1,1,8,1,0.0124746672809124
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,8,1,1,16,1,0.011109333485364914
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,4,1,1,32,1,0.011445333560307821
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,2,1,1,64,1,0.011109333485364914
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,1,1,1,128,1,0.01119999960064888
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,128,1,1,1,3,0.011242666592200598
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,64,1,1,2,3,0.011136000355084738
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,32,1,1,4,3,0.010837333897749582
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,8,1,1,16,3,0.010863999525705973
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,4,1,1,32,3,0.011338666081428528
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,2,1,1,64,3,0.010965333630641302
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,1,1,1,128,3,0.011087999989589056
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,float16,16,1,1,8,3,0.011237333218256632
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,128,1,1,1,3,0.011978667229413986
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,32,1,1,4,3,0.011077333241701126
TRTLLM,1.2.0rc5,NVIDIA GB200,mla_generation,default,float16,fp8,16,1,1,8,3,0.011130666981140772
