framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,64,1,1,1,0,0.012884800136089326
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,32,1,1,2,0,0.012167999893426895
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,16,1,1,4,0,0.012083200365304947
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,8,1,1,8,0,0.012086399644613267
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,fp8,64,1,1,1,0,0.01839199960231781
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,fp8,32,1,1,2,0,0.0176816001534462
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,fp8,16,1,1,4,0,0.017791999876499175
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,2,1,1,32,0,0.012110400199890136
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,1,1,1,64,0,0.011908800154924393
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,4,1,1,16,0,0.012062399834394454
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,fp8,8,1,1,8,0,0.017564800381660462
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,fp8,4,1,1,16,0,0.01767359972000122
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,fp8,2,1,1,32,0,0.017819200456142426
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,fp8,1,1,1,64,0,0.017691199481487275
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,64,1,16,1,0,0.013964800536632538
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,32,1,16,2,0,0.013775999844074249
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,16,1,16,4,0,0.013638399541378021
SGLang,0.5.6.post2,NVIDIA H200,mla_context,flash_attention,float16,float16,8,1,16,8,0,0.013711999356746673
