framework,version,device,op_name,kernel_source,mla_dtype,kv_cache_dtype,num_heads,batch_size,isl,tp_size,step,latency
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,1,0.026736001173655193
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,1,0.025450666745503742
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,1,0.025957333544890087
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,1,0.025226667523384094
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,1,0.027317332724730175
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,1,0.025013332565625507
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,1,0.025781333446502686
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,1,0.02514133354028066
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,1,0.025221332907676697
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,3,0.02734400083621343
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,3,0.02645866572856903
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,1,0.025983999172846477
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,1,0.02516799916823705
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,1,0.025472000241279602
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,3,0.02532266577084859
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,3,0.025861332813898723
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,3,0.025600001215934753
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,3,0.024986666937669117
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,3,0.02585600068171819
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,3,0.026378666361172993
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,3,0.025792000194390614
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,3,0.026133333643277485
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,3,0.0258240004380544
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,1,0.025098666548728943
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,3,0.025045332809289295
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,3,0.025013332565625507
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,3,0.02492800106604894
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,7,0.026320000489552815
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,1,0.024911999702453613
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,7,0.02718399961789449
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,7,0.02476266771554947
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,7,0.026975999275843304
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,7,0.030224000414212544
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,7,0.025477332373460133
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,7,0.025493333737055462
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,7,0.02603200078010559
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,7,0.02548266698916753
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,7,0.10014399886131287
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,7,0.024853333830833435
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,7,0.025631998976071674
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,7,0.025429333249727886
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,15,0.026170666019121807
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,15,0.025946666797002155
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,15,0.025472000241279602
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,15,0.02516266703605652
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,15,0.02510400116443634
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,7,0.02550400048494339
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,15,0.02518933266401291
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,15,0.025194667279720306
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,15,0.027493332823117573
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,15,0.025626666843891144
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,15,0.025066666305065155
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,15,0.02586666742960612
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,15,0.02535466601451238
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,15,0.025349333882331848
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,31,0.025914666553338368
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,15,0.02515200028816859
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,31,0.02754133443037669
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,31,0.02476799984773
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,31,0.025397333006064098
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,31,0.030554667115211487
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,31,0.025077333052953083
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,31,0.026650667190551758
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,31,0.02515733242034912
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,31,0.02491733431816101
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,31,0.025850666066010792
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,31,0.025279998779296875
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,31,0.025029333929220837
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,31,0.025013332565625507
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,31,0.025013332565625507
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,63,0.025397333006064098
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,63,0.024645333488782246
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,63,0.0240639994541804
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,63,0.02385066697994868
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,63,0.02383466561635335
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,63,0.02521066615978877
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,63,0.023898666103680927
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,63,0.024197332561016083
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,63,0.024293333292007446
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,63,0.024682665864626568
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,63,0.024069334069887798
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,63,0.02386666586001714
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,63,0.023685333629449207
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,127,0.02807466685771942
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,63,0.023621333142121632
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,127,0.02693866689999898
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,127,0.025941332181294758
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,127,0.02573866645495097
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,127,0.026330667237440746
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,127,0.025957333544890087
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,127,0.02573866645495097
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,127,0.027957332630952198
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,127,0.026842666169007618
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,127,0.02589333305756251
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,127,0.02632533262173335
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,127,0.025973332424958546
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,127,0.025861332813898723
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,127,0.025701334079106648
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,255,0.02826666583617528
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,255,0.02736533433198929
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,255,0.026341333985328674
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,255,0.026021334032217663
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,255,0.026320000489552815
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,255,0.02603200078010559
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,255,0.026863999664783478
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,255,0.028351999819278717
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,255,0.026101333399613697
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,255,0.026917333404223125
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,255,0.02606400102376938
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,255,0.026021334032217663
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,255,0.026074667771657307
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,255,0.026005332668622334
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,511,0.028912000358104706
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,511,0.02712533374627431
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,511,0.02757866680622101
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,511,0.02644266684850057
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,511,0.027002667387326557
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,511,0.02661866694688797
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,511,0.026234666506449383
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,511,0.029103999336560566
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,511,0.027664000789324444
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,511,0.02918400118748347
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,511,0.026447998980681103
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,511,0.026736001173655193
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,511,0.02699200063943863
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,1023,0.028218666712443035
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,1023,0.02773333340883255
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,1023,0.030000001192092896
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,1023,0.02808533360560735
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,1023,0.02888533224662145
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,1023,0.02769600103298823
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,511,0.026426665484905243
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,1023,0.027930667002995808
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,1023,0.028197333216667175
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,1023,0.02775999903678894
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,1023,0.027701333165168762
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,1023,0.027749332288901012
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,1023,0.02790933350721995
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,1023,0.03010133405526479
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,1023,0.028736000259717304
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,2047,0.03307733436425527
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,2047,0.030613332986831665
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,2047,0.031504000226656594
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,2047,0.030320001145203907
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,2047,0.030426666140556335
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,2047,0.030224000414212544
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,2047,0.03164800008138021
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,2047,0.03299200038115183
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,2047,0.030597334106763203
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,2047,0.03046933313210805
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,2047,0.030368000268936157
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,2047,0.030026666820049286
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,2047,0.03044266750415166
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,2047,0.03030933439731598
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,4095,0.03842133283615112
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,4095,0.03583999971548716
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,4095,0.03475199888149897
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,4095,0.034501334031422935
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,4095,0.034661332766215004
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,4095,0.034485332667827606
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,4095,0.03432533393303553
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,4095,0.03475733349720637
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,4095,0.03642666588226954
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,4095,0.03748266647259394
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,8,1,1,8,4095,0.034661332766215004
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,2,1,1,32,4095,0.03455466777086258
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,4,1,1,16,4095,0.03454400102297465
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,64,1,1,1,8191,0.039221333960692085
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,1,1,1,64,4095,0.034474665919939675
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,16,1,1,4,8191,0.03726933399836222
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,8,1,1,8,8191,0.03677333394686381
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,32,1,1,2,8191,0.03766933331886927
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,4,1,1,16,8191,0.036576000352700554
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,2,1,1,32,8191,0.03654933224121729
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,fp8,1,1,1,64,8191,0.03664533297220866
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,64,1,1,1,8191,0.039274667700131737
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,32,1,1,2,8191,0.037871999045213066
TRTLLM,1.0.0rc3,NVIDIA H200,mla_generation,default,float16,float16,16,1,1,4,8191,0.03729599962631861
