framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,1,4096,14336,2,8,1,1,power_law_1.01,0.20455679893493653
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,2,4096,14336,2,8,1,1,power_law_1.01,0.25832960605621336
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,4,4096,14336,2,8,1,1,power_law_1.01,0.41539840698242186
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,8,4096,14336,2,8,1,1,power_law_1.01,0.6327295780181885
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,16,4096,14336,2,8,1,1,power_law_1.01,0.6418240070343018
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,32,4096,14336,2,8,1,1,power_law_1.01,0.7051328182220459
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,48,4096,14336,2,8,1,1,power_law_1.01,0.7266240119934082
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,64,4096,14336,2,8,1,1,power_law_1.01,0.7234879970550537
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,80,4096,14336,2,8,1,1,power_law_1.01,0.7619264125823975
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,96,4096,14336,2,8,1,1,power_law_1.01,0.7900735855102539
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,1,4096,14336,2,8,1,1,power_law_1.2,0.19941120147705077
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,128,4096,14336,2,8,1,1,power_law_1.01,0.8097920417785645
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,160,4096,14336,2,8,1,1,power_law_1.01,0.9013504028320313
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,2,4096,14336,2,8,1,1,power_law_1.2,0.23923840522766113
TRTLLM,1.0.0rc3,NVIDIA H200,moe,moe_torch_flow,float16,192,4096,14336,2,8,1,1,power_law_1.01,0.9220800399780273
