framework,version,device,op_name,kernel_source,m,k,quant_dtype,latency
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,16384,fp8,0.2584522724151611
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,12288,fp8,0.1946069399515788
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,10240,fp8,0.1627295970916748
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,8192,fp8,0.1308842658996582
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,7168,fp8,0.11493013699849446
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,6144,fp8,0.09880853494008382
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,5120,fp8,0.08287680149078369
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,4096,fp8,0.06724586486816406
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,3584,fp8,0.05937920014063517
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,3072,fp8,0.05107306639353434
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,2560,fp8,0.04331093231836955
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,2048,fp8,0.03297599951426188
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,1536,fp8,0.01853546698888143
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,1024,fp8,0.012818132837613424
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,768,fp8,0.010041600465774536
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,512,fp8,0.007451733450094859
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,256,fp8,0.0046847999095916745
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,128,fp8,0.0037119999527931214
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,64,fp8,0.00317546675602595
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,32,fp8,0.0030303999781608583
TRTLLM,1.2.0rc5,NVIDIA H200,scale_matrix,torch_ops,8192,65536,fp8,1.0352511723836264
