framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,1,128,1,float16,float16,0,62.52078755696615
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,2,128,1,float16,fp8,0,55.56855265299479
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,8,128,1,float16,float16,0,61.649383544921875
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,4,128,1,float16,float16,0,64.01852416992188
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,1,128,1,float16,fp8,0,55.5015614827474
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,2,128,1,float16,float16,0,63.99754333496094
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,8,128,1,float16,fp8,0,56.49401346842448
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,64,128,1,float16,float16,0,33.353291829427086
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,64,128,1,float16,fp8,0,30.712420145670574
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,8,16384,64,4,128,1,float16,fp8,0,55.907877604166664
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,1,128,1,float16,float16,0,32.20153045654297
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,1,128,1,float16,fp8,0,28.01458231608073
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,2,128,1,float16,float16,0,34.225626627604164
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,2,128,1,float16,fp8,0,28.185994466145832
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,64,128,1,float16,float16,0,16.480010986328125
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,4,128,1,float16,fp8,0,28.438331604003906
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,64,128,1,float16,fp8,0,14.762533823649088
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,4,128,1,float16,float16,0,34.008593241373696
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,8,128,1,float16,float16,0,31.014597574869793
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,1,128,1,float16,float16,0,15.837652842203775
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,4,16384,64,8,128,1,float16,fp8,0,28.492207845052082
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,1,128,1,float16,fp8,0,14.028128306070963
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,2,128,1,float16,fp8,0,14.111178080240885
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,2,128,1,float16,float16,0,15.841359456380209
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,4,128,1,float16,fp8,0,14.152159372965494
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,4,128,1,float16,float16,0,16.17193603515625
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,64,128,1,float16,fp8,0,7.417162577311198
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,64,128,1,float16,float16,0,7.673231760660808
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,8,128,1,float16,float16,0,15.929061889648438
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,1,128,1,float16,float16,0,7.720101038614909
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,1,128,1,float16,fp8,0,7.168170928955078
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,2,128,1,float16,float16,0,7.133871714274089
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,2,16384,64,8,128,1,float16,fp8,0,14.286640167236328
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,2,128,1,float16,fp8,0,7.098880132039388
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,4,128,1,float16,float16,0,7.940581639607747
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,4,128,1,float16,fp8,0,7.301445643107097
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,8,128,1,float16,float16,0,7.791877110799153
VLLM,0.12.0,NVIDIA H200,context_attention,vllm_flash_attn,1,16384,64,8,128,1,float16,fp8,0,7.439178466796875
