framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,1,6144,16384,2,8,1,1,power_law_1.01,0.39191040992736814
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,1,6144,16384,2,8,1,1,power_law_1.01,0.28209600448608396
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,2,6144,16384,2,8,1,1,power_law_1.01,0.4752960205078125
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,2,6144,16384,2,8,1,1,power_law_1.01,0.37099199295043944
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,1,4096,14336,2,8,1,1,power_law_1.01,0.19286079406738282
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,4,6144,16384,2,8,1,1,power_law_1.01,0.6096352100372314
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,4,6144,16384,2,8,1,1,power_law_1.01,0.44285759925842283
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,1,4096,14336,2,8,1,1,power_law_1.2,0.19262399673461914
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,1,4096,14336,2,8,1,1,power_law_1.01,0.12310080528259278
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,8,6144,16384,2,8,1,1,power_law_1.01,1.149500846862793
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,8,6144,16384,2,8,1,1,power_law_1.01,0.8543552398681641
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,1,4096,14336,2,8,1,1,power_law_1.2,0.12320319414138795
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,2,4096,14336,2,8,1,1,power_law_1.01,0.2806112051010132
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,2,4096,14336,2,8,1,1,power_law_1.2,0.2720576047897339
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,16,6144,16384,2,8,1,1,power_law_1.01,1.0665984153747559
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,16,6144,16384,2,8,1,1,power_law_1.01,1.704047966003418
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,32,6144,16384,2,8,1,1,power_law_1.01,1.0947903633117675
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,4,4096,14336,2,8,1,1,power_law_1.01,0.3720128059387207
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,32,6144,16384,2,8,1,1,power_law_1.01,1.7700416564941406
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,48,6144,16384,2,8,1,1,power_law_1.01,1.1332223892211915
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,4,4096,14336,2,8,1,1,power_law_1.2,0.37807679176330566
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,2,4096,14336,2,8,1,1,power_law_1.01,0.1647711992263794
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,64,6144,16384,2,8,1,1,power_law_1.01,1.1515711784362792
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,48,6144,16384,2,8,1,1,power_law_1.01,1.8058399200439452
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,80,6144,16384,2,8,1,1,power_law_1.01,1.2304287910461427
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,2,4096,14336,2,8,1,1,power_law_1.2,0.15867199897766113
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,64,6144,16384,2,8,1,1,power_law_1.01,1.8524288177490233
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,96,6144,16384,2,8,1,1,power_law_1.01,1.2664704322814941
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,float16,80,6144,16384,2,8,1,1,power_law_1.01,1.9804672241210937
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,128,6144,16384,2,8,1,1,power_law_1.01,1.3309439659118651
VLLM,0.12.0,NVIDIA H200,moe,vllm_fused_moe,fp8,160,6144,16384,2,8,1,1,power_law_1.01,1.4119263648986817
