framework,version,device,op_name,kernel_source,m,k,quant_dtype,latency
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,16384,fp8,0.36347834269205737
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,12288,fp8,0.25387948354085277
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,10240,fp8,0.19825388590494797
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,8192,fp8,0.13369280497233071
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,7168,fp8,0.09663146336873374
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,6144,fp8,0.05311147371927899
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,5120,fp8,0.0
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,4096,fp8,0.018909867604573583
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,3584,fp8,0.03822933435440064
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,3072,fp8,0.03099306424458821
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,2560,fp8,0.02662400205930074
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,2048,fp8,0.02239253322283427
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,1536,fp8,0.01836373209953308
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,1024,fp8,0.014609066645304364
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,768,fp8,0.012868266304334006
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,512,fp8,0.010786132514476776
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,256,fp8,0.009352533022562663
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,128,fp8,0.00815786694486936
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,64,fp8,0.007475199798742931
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,32,fp8,0.007305599997440974
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,8192,65536,fp8,1.6088404337565105
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,16384,fp8,0.12963841756184896
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,12288,fp8,0.05116585095723475
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,10240,fp8,0.0
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,8192,fp8,0.021674672762552902
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,7168,fp8,0.03724160194396972
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,6144,fp8,0.031191464265187582
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,5120,fp8,0.026487467686335246
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,4096,fp8,0.022089600563049313
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,3584,fp8,0.02024106582005819
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,3072,fp8,0.018364801009496053
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,2560,fp8,0.016452267765998837
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,2048,fp8,0.014574933052062991
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,1536,fp8,0.0127701332171758
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,1024,fp8,0.010794665912787119
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,768,fp8,0.00980373372634252
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,512,fp8,0.009447466333707173
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,256,fp8,0.007850666344165803
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,128,fp8,0.007507200042406718
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,64,fp8,0.007372800260782241
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,32,fp8,0.00716373287141323
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,4096,65536,fp8,0.7898719787597659
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,2048,16384,fp8,0.04037973483403523
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,2048,12288,fp8,0.030812799930572524
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,2048,10240,fp8,0.026416001717249553
TRTLLM,1.0.0,NVIDIA L40S,compute_scale,torch_ops,2048,8192,fp8,0.02228373289108277
