framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,1,4096,1536,8,128,1,1,power_law_1.01,0.5038080215454102
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,1,4096,1536,8,128,1,1,power_law_1.2,0.5033984184265137
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,2,4096,1536,8,128,1,1,power_law_1.01,0.5625855922698975
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,2,4096,1536,8,128,1,1,power_law_1.2,0.5933055877685547
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,4,4096,1536,8,128,1,1,power_law_1.01,1.2980223655700684
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,4,4096,1536,8,128,1,1,power_law_1.2,1.1104255676269532
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,8,4096,1536,8,128,1,1,power_law_1.01,2.3152639389038088
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,8,4096,1536,8,128,1,1,power_law_1.2,1.8229248046875
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,16,4096,1536,8,128,1,1,power_law_1.01,2.9630464553833007
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,16,4096,1536,8,128,1,1,power_law_1.2,2.712371253967285
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,32,4096,1536,8,128,1,1,power_law_1.01,5.3854209899902346
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,32,4096,1536,8,128,1,1,power_law_1.2,5.4456321716308596
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,48,4096,1536,8,128,1,1,power_law_1.01,6.044467163085938
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,48,4096,1536,8,128,1,1,power_law_1.2,5.999615859985352
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,64,4096,1536,8,128,1,1,power_law_1.01,6.097715377807617
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,64,4096,1536,8,128,1,1,power_law_1.2,6.133964920043946
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,80,4096,1536,8,128,1,1,power_law_1.01,6.2656513214111325
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,80,4096,1536,8,128,1,1,power_law_1.2,6.399795150756836
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,96,4096,1536,8,128,1,1,power_law_1.01,6.305382537841797
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,96,4096,1536,8,128,1,1,power_law_1.2,6.490521240234375
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,128,4096,1536,8,128,1,1,power_law_1.01,6.657023620605469
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,128,4096,1536,8,128,1,1,power_law_1.2,6.661734771728516
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,160,4096,1536,8,128,1,1,power_law_1.01,6.63183364868164
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,160,4096,1536,8,128,1,1,power_law_1.2,6.717440032958985
TRTLLM,1.0.0,NVIDIA L40S,moe,moe_torch_flow,float16,192,4096,1536,8,128,1,1,power_law_1.01,6.707609558105469
